year,name,rating,category,engine,detail_url
2023,Bajaj Dominar 400,-,Sport touring,373 ccm,https://bikez.com/motorcycles/bajaj_dominar_400_2023.php
2023,Bajaj Platina 100,-,Allround,102 ccm,https://bikez.com/motorcycles/bajaj_platina_100_2023.php
2023,Bajaj Platina 110 ABS,-,Allround,115 ccm,https://bikez.com/motorcycles/bajaj_platina_110_abs_2023.php
2023,Bajaj Pulsar 125,-,Sport,124 ccm,https://bikez.com/motorcycles/bajaj_pulsar_125_2023.php
2023,Bajaj Pulsar 150,-,Sport,150 ccm,https://bikez.com/motorcycles/bajaj_pulsar_150_2023.php
2023,Bajaj Pulsar F250,-,Sport,250 ccm,https://bikez.com/motorcycles/bajaj_pulsar_f250_2023.php
2023,Bajaj Pulsar N160,-,Allround,165 ccm,https://bikez.com/motorcycles/bajaj_pulsar_n160_2023.php
2023,Bajaj Pulsar N250,-,Naked bike,250 ccm,https://bikez.com/motorcycles/bajaj_pulsar_n250_2023.php
2023,Bajaj Pulsar NS160,-,Allround,164 ccm,https://bikez.com/motorcycles/bajaj_pulsar_ns160_2023.php
2023,Bajaj Pulsar NS200,-,Naked bike,200 ccm,https://bikez.com/motorcycles/bajaj_pulsar_ns200_2023.php
2023,Bajaj Pulsar P150,-,Sport,150 ccm,https://bikez.com/motorcycles/bajaj_pulsar_p150_2023.php
2023,Bajaj Pulsar RS200,-,Sport,200 ccm,https://bikez.com/motorcycles/bajaj_pulsar_rs200_2023.php
2023,Beeline Pista R AC,-,Scooter,49 ccm,https://bikez.com/motorcycles/beeline_pista_r_ac_2023.php
2023,Beeline Tapo RS,-,Scooter,49 ccm,https://bikez.com/motorcycles/beeline_tapo_rs_2023.php
2023,Benelli 302S,-,Naked bike,300 ccm,https://bikez.com/motorcycles/benelli_302s_2023.php
2023,Benelli 502 Cruiser,-,Allround,500 ccm,https://bikez.com/motorcycles/benelli_502_cruiser_2023.php
2023,Benelli 752 S,-,Naked bike,754 ccm,https://bikez.com/motorcycles/benelli_752_s_2023.php
2023,Benelli BKX 250,-,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/benelli_bkx_250_2023.php
2023,Benelli BKX 250 S,-,Enduro/offroad,249 ccm,https://bikez.com/motorcycles/benelli_bkx_250_s_2023.php
